objective,module,kind,analysis_group,role,n,mean_score,mean_abs_score,mean_delta_norm,mean_grad_norm
signed_hqql_tbl,mod.cls_blocks.0,cls,C_Tbl_correct,neutral_hadron,4,0.1771925911307335,0.1771925911307335,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,C_Tbl_correct,neutral_hadron,4,-0.17035699263215065,0.17035699263215065,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,B_Hqql_to_Tbl,neutral_hadron,6,0.1639516738553842,0.1639516738553842,0.0,0.0
B_tbl_minus_hqql,mod.cls_blocks.0,cls,B_Hqql_to_Tbl,neutral_hadron,6,0.1639516738553842,0.1639516738553842,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,A_Hqql_correct,muon,1,-0.15471649169921875,0.15471649169921875,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,C_Tbl_correct,CLS,24,0.15313830397402248,0.15313830397402248,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,C_Tbl_correct,charged_hadron,16,0.15272103040479124,0.15272103040479124,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,B_Hqql_to_Tbl,neutral_hadron,6,-0.15047003080447516,0.15047003080447516,0.0,0.0
B_tbl_minus_hqql,mod.cls_blocks.1,cls,B_Hqql_to_Tbl,neutral_hadron,6,-0.15047003080447516,0.15047003080447516,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,C_Tbl_correct,CLS,24,-0.1497637218174835,0.1497637218174835,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,C_Tbl_correct,charged_hadron,16,-0.14884621440432966,0.14884621440432966,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,C_Tbl_correct,photon,4,-0.13284048065543175,0.13284048065543175,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,C_Tbl_correct,photon,4,0.13075311109423637,0.13075311109423637,0.0,0.0
signed_hqql_tbl,mod.blocks.1,particle,D_Tbl_to_Hqql,muon,2,-0.1238789688795805,0.1238789688795805,0.0,0.0
signed_hqql_tbl,mod.blocks.3,particle,D_Tbl_to_Hqql,muon,2,-0.12179457768797874,0.12179457768797874,0.0,0.0
B_tbl_minus_hqql,mod.cls_blocks.0,cls,B_Hqql_to_Tbl,CLS,24,0.11808946294089158,0.12361450679600239,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,B_Hqql_to_Tbl,CLS,24,0.11808945890516043,0.12361450276027124,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,B_Hqql_to_Tbl,CLS,24,-0.11811535541589062,0.12316633869583409,0.0,0.0
B_tbl_minus_hqql,mod.cls_blocks.1,cls,B_Hqql_to_Tbl,CLS,24,-0.11811535417412718,0.12316633745407064,0.0,0.0
B_tbl_minus_hqql,mod.cls_blocks.1,cls,B_Hqql_to_Tbl,photon,7,-0.11797926894256047,0.11797926894256047,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,B_Hqql_to_Tbl,photon,7,-0.11797926255634852,0.11797926255634852,0.0,0.0
B_tbl_minus_hqql,mod.cls_blocks.0,cls,B_Hqql_to_Tbl,charged_hadron,11,0.10571743818846616,0.11777207932688973,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,B_Hqql_to_Tbl,charged_hadron,11,0.10571743141521107,0.11777207255363464,0.0,0.0
signed_hqql_tbl,mod.blocks.0,particle,D_Tbl_to_Hqql,muon,2,-0.10661068465560675,0.10661068465560675,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,B_Hqql_to_Tbl,charged_hadron,11,-0.10055395520546219,0.11157428236170248,0.0,0.0
B_tbl_minus_hqql,mod.cls_blocks.1,cls,B_Hqql_to_Tbl,charged_hadron,11,-0.10055394843220711,0.1115742755884474,0.0,0.0
B_tbl_minus_hqql,mod.cls_blocks.0,cls,B_Hqql_to_Tbl,photon,7,0.09822074962513787,0.09822074962513787,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,B_Hqql_to_Tbl,photon,7,0.09822074643203191,0.09822074643203191,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,A_Hqql_correct,neutral_hadron,7,-0.09239775155271802,0.09438319823571614,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,A_Hqql_correct,photon,7,-0.08765069075993129,0.093424705522401,0.0,0.0
signed_hqql_tbl,mod.blocks.7,particle,B_Hqql_to_Tbl,muon,1,0.08706134557723999,0.08706134557723999,0.0,0.0
B_tbl_minus_hqql,mod.blocks.7,particle,B_Hqql_to_Tbl,muon,1,0.08706134557723999,0.08706134557723999,0.0,0.0
signed_hqql_tbl,mod.blocks.3,particle,A_Hqql_correct,muon,3,-0.084258321672678,0.084258321672678,0.0,0.0
signed_hqql_tbl,mod.blocks.0,particle,B_Hqql_to_Tbl,muon,1,-0.08422403782606125,0.08422403782606125,0.0,0.0
B_tbl_minus_hqql,mod.blocks.0,particle,B_Hqql_to_Tbl,muon,1,-0.08422403782606125,0.08422403782606125,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,A_Hqql_correct,CLS,24,-0.0809777625836432,0.08741030547146995,0.0,0.0
