control,transition_type,from_id,from_label,to_id,to_label,n,from_total,rate
keep_only_particle0,baseline_pred_to_control_pred,4,label_H4q,5,label_Hqql,12,274,0.043795620437956206
keep_only_particle0,baseline_pred_to_control_pred,7,label_Wqq,2,label_Hcc,11,270,0.040740740740740744
keep_only_particle0,baseline_pred_to_control_pred,0,label_QCD,4,label_H4q,9,241,0.03734439834024896
keep_only_particle0,baseline_pred_to_control_pred,4,label_H4q,2,label_Hcc,10,274,0.0364963503649635
keep_only_particle0,baseline_pred_to_control_pred,5,label_Hqql,6,label_Zqq,9,255,0.03529411764705882
keep_only_particle0,baseline_pred_to_control_pred,5,label_Hqql,5,label_Hqql,8,255,0.03137254901960784
keep_only_particle0,baseline_pred_to_control_pred,6,label_Zqq,5,label_Hqql,7,251,0.027888446215139442
keep_only_particle0,baseline_pred_to_control_pred,9,label_Tbl,7,label_Wqq,7,253,0.02766798418972332
keep_only_particle0,baseline_pred_to_control_pred,8,label_Tbqq,5,label_Hqql,7,273,0.02564102564102564
keep_only_particle0,baseline_pred_to_control_pred,3,label_Hgg,2,label_Hcc,7,280,0.025
keep_only_particle0,baseline_pred_to_control_pred,6,label_Zqq,4,label_H4q,6,251,0.02390438247011952
keep_only_particle0,baseline_pred_to_control_pred,8,label_Tbqq,2,label_Hcc,6,273,0.02197802197802198
keep_only_particle0,baseline_pred_to_control_pred,9,label_Tbl,0,label_QCD,5,253,0.019762845849802372
keep_only_particle0,baseline_pred_to_control_pred,7,label_Wqq,4,label_H4q,5,270,0.018518518518518517
keep_only_particle0,baseline_pred_to_control_pred,8,label_Tbqq,8,label_Tbqq,5,273,0.018315018315018316
keep_only_particle0,baseline_pred_to_control_pred,7,label_Wqq,5,label_Hqql,4,270,0.014814814814814815
keep_only_particle0,baseline_pred_to_control_pred,3,label_Hgg,8,label_Tbqq,4,280,0.014285714285714285
keep_only_particle0,baseline_pred_to_control_pred,2,label_Hcc,2,label_Hcc,3,220,0.013636363636363636
keep_only_particle0,baseline_pred_to_control_pred,1,label_Hbb,2,label_Hcc,3,243,0.012345679012345678
keep_only_particle0,baseline_pred_to_control_pred,9,label_Tbl,2,label_Hcc,2,253,0.007905138339920948
keep_only_particle0,baseline_pred_to_control_pred,5,label_Hqql,4,label_H4q,2,255,0.00784313725490196
keep_only_particle0,baseline_pred_to_control_pred,2,label_Hcc,8,label_Tbqq,1,220,0.004545454545454545
keep_only_particle0,baseline_pred_to_control_pred,0,label_QCD,5,label_Hqql,1,241,0.004149377593360996
keep_only_particle0,baseline_pred_to_control_pred,9,label_Tbl,5,label_Hqql,1,253,0.003952569169960474
keep_only_particle0,baseline_pred_to_control_pred,5,label_Hqql,2,label_Hcc,1,255,0.00392156862745098
keep_only_particle0,baseline_pred_to_control_pred,8,label_Tbqq,3,label_Hgg,1,273,0.003663003663003663
keep_only_particle0,true_class_to_control_pred,9,label_Tbl,9,label_Tbl,223,256,0.87109375
keep_only_particle0,true_class_to_control_pred,5,label_Hqql,9,label_Tbl,195,256,0.76171875
keep_only_particle0,true_class_to_control_pred,4,label_H4q,7,label_Wqq,119,256,0.46484375
keep_only_particle0,true_class_to_control_pred,0,label_QCD,0,label_QCD,117,256,0.45703125
keep_only_particle0,true_class_to_control_pred,3,label_Hgg,7,label_Wqq,104,256,0.40625
keep_only_particle0,true_class_to_control_pred,2,label_Hcc,7,label_Wqq,100,256,0.390625
keep_only_particle0,true_class_to_control_pred,7,label_Wqq,7,label_Wqq,92,256,0.359375
keep_only_particle0,true_class_to_control_pred,6,label_Zqq,7,label_Wqq,88,256,0.34375
keep_only_particle0,true_class_to_control_pred,1,label_Hbb,7,label_Wqq,78,256,0.3046875
keep_only_particle0,true_class_to_control_pred,8,label_Tbqq,7,label_Wqq,77,256,0.30078125
keep_only_particle0,true_class_to_control_pred,1,label_Hbb,9,label_Tbl,69,256,0.26953125
keep_only_particle0,true_class_to_control_pred,8,label_Tbqq,4,label_H4q,65,256,0.25390625
keep_only_particle0,true_class_to_control_pred,7,label_Wqq,0,label_QCD,63,256,0.24609375
keep_only_particle0,true_class_to_control_pred,2,label_Hcc,9,label_Tbl,56,256,0.21875
keep_only_particle0,true_class_to_control_pred,6,label_Zqq,0,label_QCD,56,256,0.21875
keep_only_particle0,true_class_to_control_pred,0,label_QCD,7,label_Wqq,55,256,0.21484375
keep_only_particle0,true_class_to_control_pred,8,label_Tbqq,9,label_Tbl,51,256,0.19921875
keep_only_particle0,true_class_to_control_pred,6,label_Zqq,6,label_Zqq,45,256,0.17578125
keep_only_particle0,true_class_to_control_pred,3,label_Hgg,9,label_Tbl,41,256,0.16015625
keep_only_particle0,true_class_to_control_pred,4,label_H4q,9,label_Tbl,41,256,0.16015625
keep_only_particle0,true_class_to_control_pred,6,label_Zqq,9,label_Tbl,41,256,0.16015625
keep_only_particle0,true_class_to_control_pred,7,label_Wqq,6,label_Zqq,39,256,0.15234375
keep_only_particle0,true_class_to_control_pred,7,label_Wqq,9,label_Tbl,38,256,0.1484375
keep_only_particle0,true_class_to_control_pred,0,label_QCD,6,label_Zqq,37,256,0.14453125
keep_only_particle0,true_class_to_control_pred,1,label_Hbb,6,label_Zqq,34,256,0.1328125
keep_only_particle0,true_class_to_control_pred,2,label_Hcc,6,label_Zqq,33,256,0.12890625
keep_only_particle0,true_class_to_control_pred,3,label_Hgg,4,label_H4q,33,256,0.12890625
keep_only_particle0,true_class_to_control_pred,2,label_Hcc,0,label_QCD,32,256,0.125
keep_only_particle0,true_class_to_control_pred,1,label_Hbb,0,label_QCD,30,256,0.1171875
keep_only_particle0,true_class_to_control_pred,3,label_Hgg,0,label_QCD,30,256,0.1171875
keep_only_particle0,true_class_to_control_pred,4,label_H4q,4,label_H4q,28,256,0.109375
keep_only_particle0,true_class_to_control_pred,4,label_H4q,6,label_Zqq,27,256,0.10546875
keep_only_particle0,true_class_to_control_pred,3,label_Hgg,6,label_Zqq,24,256,0.09375
keep_only_particle0,true_class_to_control_pred,8,label_Tbqq,6,label_Zqq,24,256,0.09375
keep_only_particle0,true_class_to_control_pred,2,label_Hcc,4,label_H4q,23,256,0.08984375
keep_only_particle0,true_class_to_control_pred,1,label_Hbb,5,label_Hqql,22,256,0.0859375
keep_only_particle0,true_class_to_control_pred,5,label_Hqql,7,label_Wqq,21,256,0.08203125
keep_only_particle0,true_class_to_control_pred,8,label_Tbqq,0,label_QCD,20,256,0.078125
keep_only_particle0,true_class_to_control_pred,1,label_Hbb,4,label_H4q,19,256,0.07421875
keep_only_particle0,true_class_to_control_pred,4,label_H4q,0,label_QCD,19,256,0.07421875
keep_only_particle0,true_class_to_control_pred,0,label_QCD,9,label_Tbl,18,256,0.0703125
keep_only_particle0,true_class_to_control_pred,5,label_Hqql,0,label_QCD,18,256,0.0703125
keep_only_particle0,true_class_to_control_pred,0,label_QCD,2,label_Hcc,16,256,0.0625
keep_only_particle0,true_class_to_control_pred,9,label_Tbl,6,label_Zqq,16,256,0.0625
keep_only_particle0,true_class_to_control_pred,7,label_Wqq,2,label_Hcc,15,256,0.05859375
keep_only_particle0,true_class_to_control_pred,3,label_Hgg,5,label_Hqql,14,256,0.0546875
keep_only_particle0,true_class_to_control_pred,0,label_QCD,4,label_H4q,12,256,0.046875
keep_only_particle0,true_class_to_control_pred,4,label_H4q,5,label_Hqql,11,256,0.04296875
keep_only_particle0,true_class_to_control_pred,4,label_H4q,2,label_Hcc,10,256,0.0390625
keep_only_particle0,true_class_to_control_pred,5,label_Hqql,6,label_Zqq,10,256,0.0390625
keep_only_particle0,true_class_to_control_pred,6,label_Zqq,4,label_H4q,10,256,0.0390625
keep_only_particle0,true_class_to_control_pred,6,label_Zqq,2,label_Hcc,9,256,0.03515625
keep_only_particle0,true_class_to_control_pred,2,label_Hcc,5,label_Hqql,8,256,0.03125
keep_only_particle0,true_class_to_control_pred,5,label_Hqql,5,label_Hqql,8,256,0.03125
keep_only_particle0,true_class_to_control_pred,8,label_Tbqq,5,label_Hqql,8,256,0.03125
keep_only_particle0,true_class_to_control_pred,9,label_Tbl,7,label_Wqq,8,256,0.03125
keep_only_particle0,true_class_to_control_pred,3,label_Hgg,2,label_Hcc,7,256,0.02734375
keep_only_particle0,true_class_to_control_pred,6,label_Zqq,5,label_Hqql,7,256,0.02734375
keep_only_particle0,true_class_to_control_pred,8,label_Tbqq,2,label_Hcc,6,256,0.0234375
keep_only_particle0,true_class_to_control_pred,9,label_Tbl,0,label_QCD,6,256,0.0234375
keep_only_particle0,true_class_to_control_pred,7,label_Wqq,4,label_H4q,5,256,0.01953125
keep_only_particle0,true_class_to_control_pred,1,label_Hbb,2,label_Hcc,4,256,0.015625
keep_only_particle0,true_class_to_control_pred,7,label_Wqq,5,label_Hqql,4,256,0.015625
keep_only_particle0,true_class_to_control_pred,8,label_Tbqq,8,label_Tbqq,4,256,0.015625
keep_only_particle0,true_class_to_control_pred,3,label_Hgg,8,label_Tbqq,3,256,0.01171875
keep_only_particle0,true_class_to_control_pred,2,label_Hcc,2,label_Hcc,2,256,0.0078125
keep_only_particle0,true_class_to_control_pred,2,label_Hcc,8,label_Tbqq,2,256,0.0078125
keep_only_particle0,true_class_to_control_pred,5,label_Hqql,2,label_Hcc,2,256,0.0078125
keep_only_particle0,true_class_to_control_pred,5,label_Hqql,4,label_H4q,2,256,0.0078125
keep_only_particle0,true_class_to_control_pred,9,label_Tbl,2,label_Hcc,2,256,0.0078125
keep_only_particle0,true_class_to_control_pred,0,label_QCD,5,label_Hqql,1,256,0.00390625
keep_only_particle0,true_class_to_control_pred,4,label_H4q,8,label_Tbqq,1,256,0.00390625
keep_only_particle0,true_class_to_control_pred,8,label_Tbqq,3,label_Hgg,1,256,0.00390625
keep_only_particle0,true_class_to_control_pred,9,label_Tbl,5,label_Hqql,1,256,0.00390625
remove_top1,baseline_pred_to_control_pred,8,label_Tbqq,8,label_Tbqq,255,273,0.9340659340659341
remove_top1,baseline_pred_to_control_pred,4,label_H4q,4,label_H4q,252,274,0.9197080291970803
remove_top1,baseline_pred_to_control_pred,3,label_Hgg,3,label_Hgg,248,280,0.8857142857142857
remove_top1,baseline_pred_to_control_pred,0,label_QCD,0,label_QCD,202,241,0.8381742738589212
remove_top1,baseline_pred_to_control_pred,7,label_Wqq,7,label_Wqq,206,270,0.762962962962963
remove_top1,baseline_pred_to_control_pred,1,label_Hbb,1,label_Hbb,183,243,0.7530864197530864
remove_top1,baseline_pred_to_control_pred,6,label_Zqq,6,label_Zqq,151,251,0.601593625498008
remove_top1,baseline_pred_to_control_pred,2,label_Hcc,2,label_Hcc,131,220,0.5954545454545455
remove_top1,baseline_pred_to_control_pred,5,label_Hqql,4,label_H4q,94,255,0.3686274509803922
remove_top1,baseline_pred_to_control_pred,9,label_Tbl,0,label_QCD,79,253,0.31225296442687744
remove_top1,baseline_pred_to_control_pred,5,label_Hqql,5,label_Hqql,72,255,0.2823529411764706
remove_top1,baseline_pred_to_control_pred,2,label_Hcc,4,label_H4q,45,220,0.20454545454545456
remove_top1,baseline_pred_to_control_pred,9,label_Tbl,9,label_Tbl,51,253,0.2015810276679842
remove_top1,baseline_pred_to_control_pred,9,label_Tbl,1,label_Hbb,50,253,0.1976284584980237
remove_top1,baseline_pred_to_control_pred,6,label_Zqq,4,label_H4q,45,251,0.17928286852589642
remove_top1,baseline_pred_to_control_pred,7,label_Wqq,6,label_Zqq,35,270,0.12962962962962962
remove_top1,baseline_pred_to_control_pred,6,label_Zqq,7,label_Wqq,28,251,0.11155378486055777
remove_top1,baseline_pred_to_control_pred,9,label_Tbl,8,label_Tbqq,28,253,0.11067193675889328
remove_top1,baseline_pred_to_control_pred,5,label_Hqql,7,label_Wqq,27,255,0.10588235294117647
remove_top1,baseline_pred_to_control_pred,3,label_Hgg,4,label_H4q,23,280,0.08214285714285714
remove_top1,baseline_pred_to_control_pred,7,label_Wqq,4,label_H4q,21,270,0.07777777777777778
remove_top1,baseline_pred_to_control_pred,5,label_Hqql,6,label_Zqq,18,255,0.07058823529411765
remove_top1,baseline_pred_to_control_pred,4,label_H4q,3,label_Hgg,17,274,0.06204379562043796
remove_top1,baseline_pred_to_control_pred,1,label_Hbb,2,label_Hcc,15,243,0.06172839506172839
remove_top1,baseline_pred_to_control_pred,1,label_Hbb,4,label_H4q,15,243,0.06172839506172839
remove_top1,baseline_pred_to_control_pred,0,label_QCD,8,label_Tbqq,14,241,0.058091286307053944
remove_top1,baseline_pred_to_control_pred,5,label_Hqql,2,label_Hcc,13,255,0.050980392156862744
remove_top1,baseline_pred_to_control_pred,2,label_Hcc,3,label_Hgg,11,220,0.05
remove_top1,baseline_pred_to_control_pred,6,label_Zqq,1,label_Hbb,12,251,0.04780876494023904
remove_top1,baseline_pred_to_control_pred,9,label_Tbl,3,label_Hgg,12,253,0.04743083003952569
remove_top1,baseline_pred_to_control_pred,9,label_Tbl,6,label_Zqq,12,253,0.04743083003952569
remove_top1,baseline_pred_to_control_pred,5,label_Hqql,0,label_QCD,12,255,0.047058823529411764
remove_top1,baseline_pred_to_control_pred,5,label_Hqql,8,label_Tbqq,12,255,0.047058823529411764
remove_top1,baseline_pred_to_control_pred,1,label_Hbb,3,label_Hgg,11,243,0.04526748971193416
remove_top1,baseline_pred_to_control_pred,8,label_Tbqq,4,label_H4q,12,273,0.04395604395604396
remove_top1,baseline_pred_to_control_pred,1,label_Hbb,8,label_Tbqq,10,243,0.0411522633744856
remove_top1,baseline_pred_to_control_pred,2,label_Hcc,1,label_Hbb,9,220,0.04090909090909091
remove_top1,baseline_pred_to_control_pred,2,label_Hcc,8,label_Tbqq,9,220,0.04090909090909091
remove_top1,baseline_pred_to_control_pred,9,label_Tbl,2,label_Hcc,10,253,0.039525691699604744
remove_top1,baseline_pred_to_control_pred,2,label_Hcc,6,label_Zqq,8,220,0.03636363636363636
remove_top1,baseline_pred_to_control_pred,0,label_QCD,4,label_H4q,8,241,0.03319502074688797
remove_top1,baseline_pred_to_control_pred,0,label_QCD,7,label_Wqq,8,241,0.03319502074688797
remove_top1,baseline_pred_to_control_pred,9,label_Tbl,5,label_Hqql,7,253,0.02766798418972332
remove_top1,baseline_pred_to_control_pred,2,label_Hcc,0,label_QCD,6,220,0.02727272727272727
remove_top1,baseline_pred_to_control_pred,7,label_Wqq,0,label_QCD,7,270,0.025925925925925925
remove_top1,baseline_pred_to_control_pred,6,label_Zqq,3,label_Hgg,6,251,0.02390438247011952
remove_top1,baseline_pred_to_control_pred,6,label_Zqq,2,label_Hcc,5,251,0.0199203187250996
remove_top1,baseline_pred_to_control_pred,5,label_Hqql,3,label_Hgg,5,255,0.0196078431372549
remove_top1,baseline_pred_to_control_pred,3,label_Hgg,0,label_QCD,5,280,0.017857142857142856
remove_top1,baseline_pred_to_control_pred,0,label_QCD,3,label_Hgg,3,241,0.012448132780082987
remove_top1,baseline_pred_to_control_pred,1,label_Hbb,5,label_Hqql,3,243,0.012345679012345678
remove_top1,baseline_pred_to_control_pred,1,label_Hbb,6,label_Zqq,3,243,0.012345679012345678
remove_top1,baseline_pred_to_control_pred,9,label_Tbl,4,label_H4q,3,253,0.011857707509881422
remove_top1,baseline_pred_to_control_pred,8,label_Tbqq,1,label_Hbb,3,273,0.01098901098901099
remove_top1,baseline_pred_to_control_pred,0,label_QCD,2,label_Hcc,2,241,0.008298755186721992
remove_top1,baseline_pred_to_control_pred,0,label_QCD,6,label_Zqq,2,241,0.008298755186721992
remove_top1,baseline_pred_to_control_pred,1,label_Hbb,7,label_Wqq,2,243,0.00823045267489712
remove_top1,baseline_pred_to_control_pred,6,label_Zqq,0,label_QCD,2,251,0.00796812749003984
remove_top1,baseline_pred_to_control_pred,6,label_Zqq,5,label_Hqql,2,251,0.00796812749003984
remove_top1,baseline_pred_to_control_pred,5,label_Hqql,1,label_Hbb,2,255,0.00784313725490196
remove_top1,baseline_pred_to_control_pred,8,label_Tbqq,3,label_Hgg,2,273,0.007326007326007326
remove_top1,baseline_pred_to_control_pred,4,label_H4q,0,label_QCD,2,274,0.0072992700729927005
remove_top1,baseline_pred_to_control_pred,4,label_H4q,1,label_Hbb,2,274,0.0072992700729927005
remove_top1,baseline_pred_to_control_pred,3,label_Hgg,1,label_Hbb,2,280,0.007142857142857143
remove_top1,baseline_pred_to_control_pred,2,label_Hcc,5,label_Hqql,1,220,0.004545454545454545
remove_top1,baseline_pred_to_control_pred,0,label_QCD,1,label_Hbb,1,241,0.004149377593360996
remove_top1,baseline_pred_to_control_pred,0,label_QCD,5,label_Hqql,1,241,0.004149377593360996
remove_top1,baseline_pred_to_control_pred,1,label_Hbb,9,label_Tbl,1,243,0.00411522633744856
remove_top1,baseline_pred_to_control_pred,9,label_Tbl,7,label_Wqq,1,253,0.003952569169960474
remove_top1,baseline_pred_to_control_pred,7,label_Wqq,2,label_Hcc,1,270,0.003703703703703704
remove_top1,baseline_pred_to_control_pred,8,label_Tbqq,2,label_Hcc,1,273,0.003663003663003663
remove_top1,baseline_pred_to_control_pred,4,label_H4q,2,label_Hcc,1,274,0.0036496350364963502
remove_top1,baseline_pred_to_control_pred,3,label_Hgg,2,label_Hcc,1,280,0.0035714285714285713
remove_top1,baseline_pred_to_control_pred,3,label_Hgg,8,label_Tbqq,1,280,0.0035714285714285713
remove_top1,true_class_to_control_pred,8,label_Tbqq,8,label_Tbqq,226,256,0.8828125
remove_top1,true_class_to_control_pred,4,label_H4q,4,label_H4q,206,256,0.8046875
remove_top1,true_class_to_control_pred,3,label_Hgg,3,label_Hgg,178,256,0.6953125
remove_top1,true_class_to_control_pred,0,label_QCD,0,label_QCD,172,256,0.671875
remove_top1,true_class_to_control_pred,7,label_Wqq,7,label_Wqq,171,256,0.66796875
remove_top1,true_class_to_control_pred,1,label_Hbb,1,label_Hbb,145,256,0.56640625
remove_top1,true_class_to_control_pred,6,label_Zqq,6,label_Zqq,114,256,0.4453125
remove_top1,true_class_to_control_pred,2,label_Hcc,2,label_Hcc,106,256,0.4140625
remove_top1,true_class_to_control_pred,5,label_Hqql,4,label_H4q,92,256,0.359375
remove_top1,true_class_to_control_pred,9,label_Tbl,0,label_QCD,76,256,0.296875
remove_top1,true_class_to_control_pred,5,label_Hqql,5,label_Hqql,72,256,0.28125
remove_top1,true_class_to_control_pred,2,label_Hcc,4,label_H4q,53,256,0.20703125
remove_top1,true_class_to_control_pred,9,label_Tbl,9,label_Tbl,52,256,0.203125
remove_top1,true_class_to_control_pred,6,label_Zqq,7,label_Wqq,50,256,0.1953125
remove_top1,true_class_to_control_pred,9,label_Tbl,1,label_Hbb,50,256,0.1953125
remove_top1,true_class_to_control_pred,6,label_Zqq,4,label_H4q,46,256,0.1796875
remove_top1,true_class_to_control_pred,7,label_Wqq,6,label_Zqq,41,256,0.16015625
remove_top1,true_class_to_control_pred,3,label_Hgg,4,label_H4q,38,256,0.1484375
remove_top1,true_class_to_control_pred,2,label_Hcc,3,label_Hgg,33,256,0.12890625
remove_top1,true_class_to_control_pred,1,label_Hbb,3,label_Hgg,32,256,0.125
remove_top1,true_class_to_control_pred,9,label_Tbl,8,label_Tbqq,28,256,0.109375
remove_top1,true_class_to_control_pred,5,label_Hqql,7,label_Wqq,27,256,0.10546875
remove_top1,true_class_to_control_pred,2,label_Hcc,1,label_Hbb,25,256,0.09765625
remove_top1,true_class_to_control_pred,4,label_H4q,3,label_Hgg,25,256,0.09765625
remove_top1,true_class_to_control_pred,7,label_Wqq,4,label_H4q,25,256,0.09765625
remove_top1,true_class_to_control_pred,1,label_Hbb,2,label_Hcc,24,256,0.09375
remove_top1,true_class_to_control_pred,1,label_Hbb,4,label_H4q,23,256,0.08984375
remove_top1,true_class_to_control_pred,0,label_QCD,3,label_Hgg,20,256,0.078125
remove_top1,true_class_to_control_pred,0,label_QCD,8,label_Tbqq,19,256,0.07421875
remove_top1,true_class_to_control_pred,5,label_Hqql,6,label_Zqq,19,256,0.07421875
remove_top1,true_class_to_control_pred,2,label_Hcc,6,label_Zqq,17,256,0.06640625
remove_top1,true_class_to_control_pred,3,label_Hgg,1,label_Hbb,17,256,0.06640625
remove_top1,true_class_to_control_pred,5,label_Hqql,0,label_QCD,15,256,0.05859375
remove_top1,true_class_to_control_pred,8,label_Tbqq,4,label_H4q,15,256,0.05859375
